Week,Topic,Monday,Wednesday,Exercise
1,Python and Jupyter for Cities,5-Jan,7-Jan,
2,Urban Data & Geoprocessing,12-Jan,14-Jan,
3,Data Visualization (No class Mon - MLK),19-Jan,21-Jan,Assn 1
4,Areal Interpolation,26-Jan,28-Jan,
5,Spatial Analysis,2-Feb,4-Feb,
6,Network Routing and Isochrones (guest lect Weds),9-Feb,11-Feb,Assn 2
7,Access to Destinations,16-Feb,18-Feb,
8,Segregation Measurement,23-Feb,25-Feb,
9,Geodemographic Typologies,2-Mar,5-Mar,Assn 3
10,Employment Concentration,9-Mar,11-Mar,
11,Finals Week,,,Final due 3/16
